Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
2934;Mobile Suit Gundam: Journey to Jaburo;PS2;2000;Simulation;Namco Bandai Games;0.16;0.13;0.36;0.04;0.7
2935;Metal Gear Solid V: The Phantom Pain;PS3;2015;Action;Konami Digital Entertainment;0.21;0.18;0.22;0.08;0.7
2936;TimeSplitters 2;PS2;2002;Shooter;Eidos Interactive;0.34;0.27;0;0.09;0.7
2937;MotionSports;X360;2010;Sports;Ubisoft;0.38;0.26;0;0.06;0.7
2938;MLB 08: The Show;PS3;2008;Sports;Sony Computer Entertainment;0.64;0;0;0.05;0.7
2942;King Kong;2600;1981;Action;Tigervision;0.65;0.04;0;0.01;0.69
2943;WWE 2K15;X360;2014;Sports;Take-Two Interactive;0.38;0.26;0;0.06;0.69
2944;The LEGO Movie Videogame;3DS;2014;Action;Warner Bros. Interactive Entertainment;0.28;0.31;0.05;0.05;0.69
2948;Shrek the Third;X360;2007;Action;Activision;0.54;0.1;0;0.06;0.69
2949;Test Drive Unlimited 2;X360;N/A;Racing;Atari;0.3;0.32;0;0.07;0.69
2950;Moto Racer 2;PS;1997;Racing;Electronic Arts;0.39;0.26;0;0.05;0.69
2951;Halo 2 Multiplayer Map Pack;XB;2005;Shooter;Microsoft Game Studios;0.54;0.13;0;0.02;0.69
2953;Mortal Kombat: Shaolin Monks;PS2;2005;Action;Midway Games;0.58;0.02;0;0.09;0.69
2954;MX vs. ATV Unleashed: On the Edge;PSP;2006;Racing;THQ;0.64;0;0;0.05;0.69
2956;Mario Pinball Land;GBA;2004;Misc;Nintendo;0.5;0.18;0;0.01;0.69
2957;Mappy;NES;1984;Platform;Namco Bandai Games;0;0;0.69;0;0.69
2960;NFL Xtreme;PS;1998;Sports;Sony Computer Entertainment;0.38;0.26;0;0.05;0.69
2961;The Sly Collection;PS3;2010;Platform;Sony Computer Entertainment;0.52;0.09;0.01;0.07;0.69
2963;Assassin's Creed IV: Black Flag;PC;2013;Action;Ubisoft;0.22;0.38;0;0.1;0.69
2964;Harry Potter and the Chamber of Secrets;GC;2002;Action;Electronic Arts;0.53;0.14;0;0.02;0.69
2966;The Lord of the Rings: The Return of the King;GC;2003;Action;Electronic Arts;0.53;0.14;0;0.02;0.69
2968;MX vs. ATV Untamed;X360;2007;Racing;THQ;0.55;0.08;0;0.06;0.69
2969;The Last Remnant;X360;2008;Role-Playing;Square Enix;0.25;0.2;0.18;0.06;0.69
2972;Baldur's Gate: Dark Alliance II;PS2;2004;Role-Playing;Interplay;0.34;0.26;0;0.09;0.68
2973;Shark Tale;GBA;2004;Action;Activision;0.49;0.18;0;0.01;0.68
2974;Plants vs. Zombies: Garden Warfare;XOne;2014;Shooter;Electronic Arts;0.39;0.23;0;0.06;0.68
2976;Bakugan: Battle Brawlers;Wii;2009;Action;Activision;0.6;0.03;0;0.05;0.68
2977;Star Wars: Masters of Teras Kasi;PS;1997;Action;LucasArts;0.38;0.26;0;0.04;0.68
2978;The Last Story;Wii;2011;Role-Playing;Nintendo;0.32;0.13;0.18;0.04;0.68
2979;NBA Street Vol. 2;XB;2003;Sports;Electronic Arts;0.62;0.04;0;0.02;0.68
2980;Iron Man;PS3;2008;Action;Sega;0.32;0.25;0;0.11;0.68
2982;Spider-Man 3;PS3;2007;Platform;Activision;0.26;0.29;0.02;0.12;0.68
2983;NCAA Football 2005;XB;2004;Sports;Electronic Arts;0.63;0.02;0;0.03;0.68
2984;Mortal Kombat Mythologies: Sub-Zero;PS;1997;Fighting;GT Interactive;0.38;0.26;0;0.04;0.68
2985;Rayman Legends;WiiU;2013;Platform;Ubisoft;0.26;0.33;0.03;0.06;0.68
2986;Naruto: Clash of Ninja;GC;2003;Fighting;Tomy Corporation;0.53;0.14;0;0.02;0.68
2987;Prince of Persia: The Two Thrones;PS2;2005;Action;Ubisoft;0.57;0.02;0;0.09;0.68
2988;Hot Shots Golf: Open Tee 2;PSP;2007;Sports;Sony Computer Entertainment;0.21;0.11;0.28;0.08;0.68
2989;Metro: Last Light;PS4;2014;Action;Deep Silver;0.22;0.3;0.04;0.12;0.68
2990;Fossil Fighters: Champions;DS;2010;Role-Playing;Nintendo;0.32;0;0.34;0.02;0.68
2994;Bushido Blade 2;PS;1998;Fighting;SquareSoft;0.25;0.17;0.22;0.04;0.68
2995;Suikoden II;PS;1998;Role-Playing;Konami Digital Entertainment;0.15;0.1;0.38;0.04;0.68
2998;FIFA Soccer 06;XB;2005;Sports;Electronic Arts;0.29;0.38;0;0.01;0.68
3000;Red Steel;Wii;2006;Shooter;Ubisoft;0.55;0.04;0.04;0.05;0.68
3001;Fight Night 2004;XB;2004;Fighting;Electronic Arts;0.51;0.15;0;0.02;0.68
3002;Tourist Trophy: The Real Riding Simulator;PS2;2006;Racing;Sony Computer Entertainment;0.28;0.22;0.11;0.07;0.68
3003;Mass Effect;PC;2008;Role-Playing;Electronic Arts;0;0.59;0;0.09;0.68
3006;Turok;PS3;2008;Action;Touchstone;0.35;0.22;0.01;0.1;0.68
3007;Midway Arcade Treasures 2;PS2;2004;Misc;Midway Games;0.33;0.26;0;0.09;0.68
3009;Unreal Tournament III;PS3;2007;Shooter;Midway Games;0.33;0.24;0;0.11;0.67
3010;Final Fantasy Crystal Chronicles: Ring of Fates;DS;2007;Role-Playing;Square Enix;0.22;0.01;0.42;0.02;0.67
3011;Return to Castle Wolfenstein: Tides of War;XB;2003;Shooter;Activision;0.49;0.16;0;0.02;0.67
3012;Need for Speed Rivals;XOne;2013;Racing;Electronic Arts;0.45;0.17;0;0.05;0.67
3013;Lollipop Chainsaw;PS3;2012;Action;Warner Bros. Interactive Entertainment;0.26;0.21;0.11;0.09;0.67
3014;The Darkness;PS3;2007;Shooter;Take-Two Interactive;0.2;0.34;0;0.13;0.67
3015;Street Sk8er;PS;1998;Sports;Electronic Arts;0.37;0.25;0;0.04;0.67
3018;Blazing Angels: Squadrons of WWII;PS3;2006;Simulation;Ubisoft;0.35;0.22;0;0.1;0.67
3020;Wolfenstein: The New Order;XOne;2014;Shooter;Bethesda Softworks;0.33;0.28;0;0.06;0.67
3023;Spice World;PS;1998;Action;Sony Computer Entertainment;0.37;0.25;0;0.04;0.67
3025;Armored Core 3;PS2;2002;Simulation;Metro 3D;0.22;0.17;0.23;0.06;0.67
3028;The Witcher 3: Wild Hunt;PC;2015;Role-Playing;Namco Bandai Games;0.2;0.42;0;0.05;0.67
3030;The LEGO Movie Videogame;PS4;2014;Action;Warner Bros. Interactive Entertainment;0.24;0.31;0.01;0.11;0.67
3031;Ratatouille;PSP;2007;Action;THQ;0.22;0.28;0;0.16;0.67
3033;Wild ARMs 2;PS;1999;Role-Playing;Sony Computer Entertainment;0.19;0.13;0.31;0.04;0.67
3035;Castlevania: Lords of Shadow;X360;2010;Action;Konami Digital Entertainment;0.42;0.18;0.01;0.05;0.67
3036;BioShock Infinite;PC;2013;Shooter;Take-Two Interactive;0.28;0.3;0;0.08;0.67
3038;TV Show King Party;Wii;2008;Puzzle;Ubisoft;0.18;0.41;0;0.08;0.67
3039;Crafting Mama;DS;2010;Simulation;505 Games;0.4;0.21;0.01;0.05;0.67
3041;Rock Band 3;Wii;2010;Misc;MTV Games;0.56;0.06;0;0.05;0.67
3042;Command & Conquer: Red Alert 3;PC;2008;Strategy;Electronic Arts;0.01;0.64;0;0.02;0.67
3044;WWE SmackDown vs. RAW 2007;PSP;2006;Fighting;THQ;0.33;0.2;0;0.14;0.67
3048;NHL 13;X360;2012;Sports;Electronic Arts;0.51;0.11;0;0.05;0.67
3049;Borderlands: The Pre-Sequel;PS3;2014;Shooter;Take-Two Interactive;0.25;0.26;0.05;0.11;0.67
3051;The Chronicles of Narnia: The Lion, The Witch and The Wardrobe;GBA;N/A;Action;Disney Interactive Studios;0.48;0.18;0;0.01;0.67
3054;NFL Street;XB;2004;Sports;Electronic Arts;0.49;0.15;0;0.02;0.66
3055;Shaun White Snowboarding;PS3;2008;Sports;Ubisoft;0.31;0.24;0.01;0.1;0.66
3056;The LEGO Movie Videogame;WiiU;2014;Action;Warner Bros. Interactive Entertainment;0.35;0.23;0.03;0.06;0.66
3057;Tony Hawk's Proving Ground;PS2;2007;Sports;Activision;0.55;0.02;0;0.09;0.66
3058;MLB 2004;PS2;2003;Sports;Sony Computer Entertainment;0.32;0.25;0;0.08;0.66
3060;Tiger Woods PGA Tour 2000;PS;1998;Sports;Electronic Arts;0.37;0.25;0;0.04;0.66
3061;Darkstone;PS;2001;Role-Playing;Electronic Arts;0.37;0.25;0;0.04;0.66
3062;NCAA March Madness 2003;PS2;2002;Sports;Electronic Arts;0.32;0.25;0;0.08;0.66
3063;Finding Nemo;XB;2003;Action;THQ;0.48;0.16;0;0.02;0.66
3064;Thrillville;PS2;2006;Strategy;Atari;0.55;0.02;0;0.09;0.66
3065;NHL 10;X360;2009;Sports;Electronic Arts;0.51;0.1;0;0.06;0.66
3067;Madagascar;GC;2005;Platform;Activision;0.52;0.13;0;0.02;0.66
3071;Rayman Legends;PS3;2013;Platform;Ubisoft;0.14;0.38;0;0.14;0.66
3072;Rocksmith 2014;PC;2013;Misc;Ubisoft;0.35;0.24;0;0.07;0.66
3073;Street Fighter Anniversary Collection;PS2;2004;Fighting;Capcom;0.32;0.25;0;0.08;0.66
3074;Legend of Legaia;PS;1998;Role-Playing;Sony Computer Entertainment;0.37;0.25;0;0.04;0.66
3075;Napoleon: Total War;PC;2010;Strategy;Sega;0.02;0.52;0;0.12;0.66
3076;Fist of the North Star: Ken's Rage;PS3;2010;Action;Ubisoft Annecy;0.06;0.03;0.55;0.02;0.66
3077;Wario: Master of Disguise;DS;2007;Platform;Nintendo;0.28;0.02;0.33;0.03;0.66
3078;Toy Story 3: The Video Game;PSP;2010;Action;Disney Interactive Studios;0.27;0.25;0;0.14;0.66
3079;The Sims: Bustin' Out;GC;2003;Simulation;Electronic Arts;0.43;0.2;0;0.03;0.66
3080;Tiger Woods PGA Tour 09;PS3;2008;Sports;Electronic Arts;0.34;0.22;0;0.1;0.66
3082;LEGO Marvel Super Heroes;PSV;2013;Action;Warner Bros. Interactive Entertainment;0.15;0.35;0;0.16;0.66
3083;New Play Control! Pikmin;Wii;2008;Strategy;Nintendo;0.29;0.14;0.19;0.04;0.66
3084;Shrek: Hassle at the Castle;GBA;2002;Action;TDK Mediactive;0.47;0.17;0;0.01;0.66
3085;Suikoden IV;PS2;2004;Role-Playing;Konami Digital Entertainment;0.17;0.13;0.3;0.05;0.66
3086;Gods Eater Burst;PSP;2010;Action;Namco Bandai Games;0.03;0;0.62;0;0.66
3088;Um Jammer Lammy;PS;1998;Misc;Sony Computer Entertainment;0.12;0.08;0.41;0.04;0.66
3090;Madden NFL 10;PSP;2009;Sports;Electronic Arts;0.5;0.08;0;0.08;0.66
3093;F1 2015;PS4;2015;Racing;Codemasters;0.09;0.44;0.03;0.09;0.66
3095;Animaniacs Ten Pin Alley;PS;1998;Sports;ASC Games;0.36;0.25;0;0.04;0.66
3097;NHL 13;PS3;2012;Sports;Electronic Arts;0.33;0.22;0;0.1;0.65
3098;Kung Fu Panda;PS2;2008;Action;Activision;0.24;0;0;0.41;0.65
3099;Tom Clancy's EndWar;PS3;2008;Strategy;Ubisoft;0.32;0.22;0.01;0.1;0.65
3100;The Evil Within;XOne;2014;Action;Bethesda Softworks;0.35;0.25;0;0.05;0.65
3101;Tiger Woods PGA Tour 09;X360;2008;Sports;Electronic Arts;0.35;0.23;0;0.07;0.65
3102;Radiata Stories;PS2;2005;Role-Playing;Square Enix;0.18;0.14;0.29;0.05;0.65
3103;F-Zero GX;GC;2003;Racing;Nintendo;0.41;0.11;0.12;0.02;0.65
3105;Wall-E;PSP;2008;Platform;THQ;0.29;0.22;0;0.14;0.65
3107;Up;DS;2009;Action;THQ;0.31;0.28;0;0.07;0.65
3108;Monster Jam: Maximum Destruction;PS2;2002;Racing;Ubisoft;0.32;0.25;0;0.08;0.65
3109;Real Heroes: Firefighter;Wii;2009;Action;Rondomedia;0.56;0.04;0;0.05;0.65
3112;Drawn to Life: The Next Chapter;DS;2009;Puzzle;THQ;0.45;0.14;0;0.06;0.65
3113;MLB 14: The Show;PS4;2014;Sports;Sony Computer Entertainment America;0.58;0;0;0.07;0.65
3114;Tiger Woods PGA Tour 10;X360;2009;Sports;Electronic Arts;0.39;0.2;0;0.06;0.65
3115;Advance Wars 2: Black Hole Rising;GBA;2003;Strategy;Nintendo;0.47;0.17;0;0.01;0.65
3116;Fire Emblem: Shadow Dragon;DS;2008;Role-Playing;Nintendo;0.31;0.03;0.27;0.03;0.65
3117;Centipede;PS;1998;Shooter;Atari;0.36;0.25;0;0.04;0.65
3121;Champions: Return to Arms;PS2;2005;Role-Playing;Sony Online Entertainment;0.32;0.25;0;0.08;0.65
3122;Harry Potter and the Goblet of Fire;PS2;2005;Action;Electronic Arts;0.54;0.02;0;0.09;0.65
3125;MX vs. ATV Untamed;PSP;2007;Racing;THQ;0.35;0.18;0;0.12;0.65
3127;Dead or Alive 5;PS3;2012;Fighting;Tecmo Koei;0.23;0.15;0.2;0.07;0.65
3128;Star Ocean: First Departure;PSP;2007;Role-Playing;Square Enix;0.2;0.14;0.22;0.09;0.65
3130;Dragon Age: Inquisition;PS3;2014;Role-Playing;Electronic Arts;0.26;0.23;0.05;0.1;0.65
3131;The Black Eyed Peas Experience;Wii;2011;Misc;Ubisoft;0.39;0.2;0;0.06;0.65
3133;Sengoku Basara: Samurai Heroes;PS3;2010;Action;Capcom;0.17;0.04;0.4;0.03;0.65
3134;Crysis 3;PC;2013;Shooter;Electronic Arts;0.17;0.39;0;0.09;0.64
3135;Paws & Claws: Pet Vet;DS;2007;Simulation;THQ;0.6;0;0;0.05;0.64
3136;Harry Potter and the Half-Blood Prince;PS2;2009;Action;Electronic Arts;0.13;0.07;0;0.44;0.64
3137;Crash Bandicoot Purple: Ripto's Rampage;GBA;2004;Platform;Vivendi Games;0.46;0.17;0;0.01;0.64
3138;Diablo III;XOne;2014;Role-Playing;Activision;0.35;0.24;0;0.05;0.64
3139;Spyro: A Hero's Tail;PS2;2004;Platform;Vivendi Games;0.32;0.25;0;0.08;0.64
3140;Crash of the Titans;PSP;2007;Action;Vivendi Games;0.25;0.25;0;0.15;0.64
3141;Aliens: Colonial Marines;PS3;2013;Shooter;Sega;0.2;0.31;0;0.13;0.64
3143;Test Drive Unlimited 2;PS3;N/A;Racing;Atari;0.16;0.35;0.01;0.12;0.64
3144;Max Payne 2: The Fall of Max Payne;XB;2003;Shooter;Take-Two Interactive;0.47;0.15;0;0.02;0.64
3145;Dragon Ball: Raging Blast 2;X360;2010;Fighting;Namco Bandai Games;0.49;0.09;0.01;0.05;0.64
3146;GoldenEye: Rogue Agent;PS2;2004;Shooter;Electronic Arts;0.54;0.02;0;0.09;0.64
3147;NBA 2K17;XOne;2016;Sports;Take-Two Interactive;0.54;0.04;0;0.07;0.64
3148;Lost Planet: Extreme Condition;PS3;2008;Shooter;Capcom;0.31;0.17;0.07;0.09;0.64
3149;XCOM: Enemy Unknown;X360;2012;Strategy;Take-Two Interactive;0.36;0.23;0;0.05;0.64
3150;Rayman 3D;3DS;2011;Platform;Ubisoft;0.23;0.35;0;0.06;0.64
3151;LEGO Marvel's Avengers;PS4;2016;Action;Warner Bros. Interactive Entertainment;0.25;0.29;0;0.1;0.64
3152;James Bond 007: Everything or Nothing;XB;2004;Shooter;Electronic Arts;0.43;0.19;0;0.02;0.64
3153;X2: Wolverine's Revenge;PS2;2003;Platform;Activision;0.31;0.24;0;0.08;0.64
3154;Stuntman: Ignition;X360;2007;Racing;THQ;0.25;0.32;0;0.07;0.64
3155;NBA Live 06;XB;2005;Sports;Electronic Arts;0.57;0.04;0;0.03;0.64
3156;Dragon Age II;PC;2011;Action;Electronic Arts;0.23;0.33;0;0.09;0.64
3157;LEGO Star Wars II: The Original Trilogy;X360;2006;Action;LucasArts;0.55;0.04;0;0.05;0.64
3158;Tom Clancy's Rainbow Six;N64;1999;Shooter;Red Storm Entertainment;0.48;0.15;0;0.01;0.64
3159;Castlevania;N64;1999;Platform;Konami Digital Entertainment;0.44;0.1;0.04;0.05;0.64
3160;Rayman 2: The Great Escape;N64;1999;Platform;Ubisoft;0.4;0.22;0;0.02;0.64
3162;The Lord of the Rings: Conquest;X360;2009;Action;Electronic Arts;0.37;0.21;0;0.06;0.64
3163;TimeSplitters 2;XB;2002;Shooter;Eidos Interactive;0.29;0.33;0;0.01;0.64
3164;Onimusha: Dawn of Dreams;PS2;2006;Action;Capcom;0.15;0.12;0.34;0.04;0.64
3165;NieR;PS3;2010;Role-Playing;Square Enix;0.17;0.2;0.2;0.07;0.64
3166;The Princess and the Frog;DS;2009;Platform;Disney Interactive Studios;0.41;0.17;0;0.06;0.64
3167;Sega Rally Revo;PS3;2007;Racing;Sega;0.07;0.43;0;0.14;0.64
3169;Gravity Rush;PSV;2012;Action;Sony Computer Entertainment;0.26;0.2;0.09;0.1;0.64
3170;Konami Collector's Series: Arcade Advanced;GBA;2002;Misc;Konami Digital Entertainment;0.46;0.17;0;0.01;0.64
3172;Wolfenstein;PS3;2009;Shooter;Activision;0.25;0.28;0;0.11;0.64
3174;LEGO Dimensions;PS4;2015;Action;Warner Bros. Interactive Entertainment;0.22;0.32;0;0.1;0.64
3176;Cruis'n World;N64;1998;Racing;Nintendo;0.59;0.04;0;0.01;0.64
3177;Madden NFL 2001;N64;2000;Sports;Electronic Arts;0.6;0.03;0;0.01;0.64
3178;NBA Live 08;PS3;2007;Sports;Electronic Arts;0.56;0.02;0.01;0.05;0.64
3179;The Walking Dead: Survival Instinct;X360;2013;Shooter;Activision;0.46;0.12;0;0.05;0.64
3180;Donkey Kong Barrel Blast;Wii;2007;Racing;Nintendo;0.2;0.26;0.11;0.06;0.64
3181;Okami;Wii;2008;Action;Capcom;0.45;0.1;0.04;0.05;0.64
3182;Lemony Snicket's A Series of Unfortunate Events;PS2;2004;Platform;Activision;0.31;0.24;0;0.08;0.64
3183;Middle-Earth: Shadow of Mordor;PS3;2014;Action;Warner Bros. Interactive Entertainment;0.2;0.33;0.01;0.1;0.64
3184;Family Feud: 2010 Edition;Wii;2009;Misc;Ubisoft;0.59;0;0;0.04;0.64
3185;Red Steel 2;Wii;2010;Shooter;Ubisoft;0.36;0.21;0.01;0.06;0.63
3186;X-Men Legends II: Rise of Apocalypse;PS2;2005;Role-Playing;Activision;0.53;0.02;0;0.09;0.63
3187;Nightmare Creatures;PS;1997;Action;Sony Computer Entertainment;0.35;0.24;0;0.04;0.63
3189;Just Dance 2015;X360;2014;Misc;Ubisoft;0.41;0.16;0;0.06;0.63
3190;F1 2013;PS3;2013;Racing;Codemasters;0.01;0.45;0.03;0.15;0.63
3191;Juiced 2: Hot Import Nights;X360;2007;Racing;THQ;0.22;0.34;0;0.07;0.63
3192;Tony Hawk's Pro Skater 2x;XB;2001;Sports;Activision;0.41;0.19;0;0.03;0.63
3193;Sim Theme Park;PS;1999;Strategy;Electronic Arts;0.35;0.24;0;0.04;0.63
3194;FIFA Soccer 2003;XB;2002;Sports;Electronic Arts;0.2;0.4;0;0.04;0.63
3195;Ghostbusters: The Video Game;X360;2009;Action;Atari;0.43;0.14;0;0.06;0.63
3197;NASCAR 06: Total Team Control;PS2;2005;Racing;Electronic Arts;0.53;0.02;0;0.09;0.63
3198;Tony Hawk's Project 8;PS3;2006;Sports;Activision;0.3;0.23;0.01;0.1;0.63
3199;Dogz;GBA;2004;Simulation;Ubisoft;0.45;0.17;0;0.01;0.63
3200;Disney Universe;PS3;2011;Action;Disney Interactive Studios;0.3;0.23;0;0.09;0.63
3201;Guitar Hero: Metallica;PS3;2009;Misc;Activision;0.28;0.24;0;0.1;0.63
3202;Iron Man;PSP;2008;Action;Sega;0.46;0.09;0;0.09;0.63
3204;Harry Potter and the Half-Blood Prince;DS;2009;Action;Electronic Arts;0.21;0.35;0;0.07;0.63
3205;A Bug's Life;N64;1998;Platform;Activision;0.49;0.13;0;0.01;0.63
3206;Super Castlevania IV;SNES;1991;Platform;Konami Digital Entertainment;0.32;0.05;0.25;0.01;0.63
3207;DJ Hero 2;Wii;2010;Misc;Activision;0.49;0.09;0;0.04;0.63
3208;Angry Birds Trilogy;3DS;2012;Action;Activision;0.38;0.2;0;0.05;0.63
3209;Condemned 2: Bloodshot;X360;2008;Action;Sega;0.38;0.19;0;0.06;0.63
3212;Just Dance 3;PS3;2011;Misc;Ubisoft;0.33;0.21;0;0.09;0.63
3213;Call of Duty: Black Ops;DS;2010;Shooter;Activision;0.54;0.05;0;0.04;0.63
3214;God of War III;PS4;2015;Action;Sony Computer Entertainment;0.23;0.29;0.01;0.1;0.63
3215;Ape Escape 2;PS2;2002;Platform;Sony Computer Entertainment;0.12;0.09;0.38;0.03;0.63
3219;Advance Wars: Days of Ruin;DS;N/A;Strategy;Nintendo;0.44;0.13;0;0.06;0.63
3220;The Sims 3: Generations;PC;2011;Simulation;Electronic Arts;0.4;0.23;0;0;0.63
3221;The Crew;XOne;2014;Racing;Ubisoft;0.24;0.34;0;0.05;0.63
3222;Battle of Giants: Dragons;DS;2009;Strategy;Ubisoft;0.31;0.25;0;0.06;0.63
3224;Sonic & All-Stars Racing Transformed;X360;2012;Racing;Sega;0.2;0.37;0;0.06;0.63
3225;Shin Megami Tensei: Persona 3 FES;PS2;2007;Role-Playing;Tecmo Koei;0.22;0.2;0.16;0.05;0.63
3226;FIFA Soccer 2002;PS2;2001;Sports;Electronic Arts;0.31;0.24;0;0.08;0.63
3227;Shin Megami Tensei: Persona 3 Portable;PSP;2009;Role-Playing;Ghostlight;0.18;0.06;0.34;0.04;0.63
3229;Tiger Woods PGA Tour 12: The Masters;X360;2011;Sports;Electronic Arts;0.4;0.17;0;0.05;0.63
3230;Okami;PS2;2006;Action;Capcom;0.11;0.03;0.15;0.34;0.63
3231;NHL 2001;PS;2000;Sports;Electronic Arts;0.35;0.24;0;0.04;0.63
3233;LEGO Jurassic World;XOne;2015;Action;Warner Bros. Interactive Entertainment;0.35;0.22;0;0.06;0.63
3234;Wet;PS3;2009;Shooter;Bethesda Softworks;0.22;0.27;0.01;0.11;0.63
3235;MySims Racing;DS;2009;Racing;Electronic Arts;0.26;0.29;0;0.07;0.63
3236;Buzz Lightyear of Star Command;PS;2000;Platform;Activision;0.35;0.24;0;0.04;0.63
3237;Namco Museum;GC;2002;Misc;Namco Bandai Games;0.48;0.13;0;0.02;0.63
3240;Metal Gear Solid 2: Substance;XB;N/A;Action;Konami Digital Entertainment;0.38;0.22;0;0.03;0.62
3241;Tony Hawk's American Wasteland;XB;2005;Sports;Activision;0.4;0.2;0;0.03;0.62
3243;Prince of Persia: The Forgotten Sands;X360;2010;Action;Ubisoft;0.3;0.26;0;0.06;0.62
3244;Vanquish;PS3;2010;Shooter;Sega;0.21;0.22;0.11;0.09;0.62
3245;Wild ARMs 3;PS2;2002;Role-Playing;Ubisoft;0.16;0.13;0.29;0.04;0.62
3246;NBA ShootOut '97;PS;1997;Sports;Sony Computer Entertainment;0.35;0.24;0;0.04;0.62
3247;Sacred 2: Fallen Angel;PS3;2009;Role-Playing;Deep Silver;0.22;0.23;0.08;0.09;0.62
3248;Madden NFL 07;GC;2006;Sports;Electronic Arts;0.48;0.13;0;0.02;0.62
3249;Far Cry 4;PC;2014;Shooter;Ubisoft;0.15;0.42;0;0.05;0.62
3250;Battlezone;2600;1982;Shooter;Atari;0.58;0.03;0;0.01;0.62
3251;Tiger Woods PGA Tour 2004;XB;2003;Sports;Electronic Arts;0.47;0.13;0;0.02;0.62
3252;LEGO Pirates of the Caribbean: The Video Game;3DS;2011;Action;Disney Interactive Studios;0.29;0.28;0;0.06;0.62
3253;Pro Evolution Soccer 2015;PS3;2014;Sports;Konami Digital Entertainment;0.1;0.23;0.22;0.08;0.62
3254;Evolve;XOne;2015;Shooter;Take-Two Interactive;0.36;0.2;0;0.06;0.62
3255;Tak 2: The Staff of Dreams;PS2;2004;Platform;THQ;0.3;0.24;0;0.08;0.62
3257;Warriors Orochi 3;PS3;2011;Action;Ubisoft Annecy;0;0.04;0.57;0.01;0.62
3258;Bolt;DS;2008;Adventure;Disney Interactive Studios;0.35;0.21;0;0.06;0.62
3259;Viewtiful Joe;GC;2003;Action;Capcom;0.38;0.1;0.12;0.02;0.62
3260;The Urbz: Sims in the City;GBA;2004;Simulation;Electronic Arts;0.37;0.22;0;0.03;0.62
3262;FIFA Soccer;PSV;2012;Sports;Electronic Arts;0.17;0.34;0.02;0.09;0.62
3265;Strike Force Bowling;PS2;2004;Sports;Play It;0.3;0.24;0;0.08;0.62
3266;SpongeBob's Atlantis SquarePantis;Wii;2007;Action;THQ;0.57;0.01;0;0.04;0.62
3267;Metal Gear Solid V: Ground Zeroes;PS3;2014;Action;Konami Digital Entertainment;0.14;0.14;0.27;0.06;0.62
3269;Dragon Ball Z: Ultimate Tenkaichi;PS3;2011;Fighting;Namco Bandai Games;0.27;0.18;0.09;0.08;0.62
3270;WWE SmackDown vs. Raw 2010;PSP;2009;Fighting;THQ;0.25;0.23;0;0.14;0.62
3271;Bass Landing;PS;1999;Sports;ASCII Entertainment;0.21;0.14;0.23;0.04;0.62
3273;Mario's Picross;GB;1995;Puzzle;Nintendo;0;0;0.62;0;0.62
3275;Rocksmith 2014;PS4;2014;Misc;Ubisoft;0.34;0.17;0;0.11;0.62
3278;Wall-E;X360;2008;Platform;THQ;0.29;0.26;0;0.07;0.62
3279;Tomb Raider III: Adventures of Lara Croft;PC;1998;Action;Eidos Interactive;0.59;0.03;0;0;0.62
3284;Formula 1: Championship Edition;PS3;2006;Racing;Sony Computer Entertainment;0;0.57;0.04;0;0.61
3285;Muramasa: The Demon Blade;Wii;2009;Role-Playing;Rising Star Games;0.33;0.13;0.11;0.04;0.61
3286;NBA 2K9;PS3;2008;Sports;Take-Two Interactive;0.56;0;0;0.05;0.61
3288;NHL 16;PS4;2015;Sports;Electronic Arts;0.35;0.15;0;0.11;0.61
3289;Plants vs. Zombies: Garden Warfare;PS4;2014;Shooter;Electronic Arts;0.21;0.29;0.01;0.11;0.61
3290;NFL Fever 2003;XB;2002;Sports;Microsoft Game Studios;0.46;0.13;0;0.02;0.61
3291;Samurai Warriors 2;PS2;2006;Action;Tecmo Koei;0.02;0.02;0.57;0.01;0.61
3292;Dynasty Warriors 8;PS3;2013;Action;Tecmo Koei;0.12;0.11;0.34;0.05;0.61
3293;Disney Sing It: Family Hits;Wii;2010;Misc;Disney Interactive Studios;0.39;0.18;0;0.05;0.61
3295;Robotech: Battlecry;PS2;2002;Shooter;TDK Mediactive;0.3;0.23;0;0.08;0.61
3299;Just Dance 2014;WiiU;2013;Misc;Ubisoft;0.33;0.23;0;0.05;0.61
3301;Texas Hold 'Em Poker;GBA;2004;Misc;Majesco Entertainment;0.44;0.16;0;0.01;0.61
3302;Time Crisis 3;PS2;2003;Shooter;Namco Bandai Games;0.3;0.23;0;0.08;0.61
3305;pro evolution soccer 2011;X360;2010;Sports;Konami Digital Entertainment;0.09;0.44;0;0.07;0.61
3306;New Play Control! Donkey Kong Jungle Beat;Wii;2008;Platform;Nintendo;0.24;0.17;0.14;0.05;0.61
3307;Small Soldiers;PS;1998;Platform;Electronic Arts;0.34;0.23;0;0.04;0.61
3308;Yakuza: Dead Souls;PS3;2011;Shooter;Sega;0.09;0.07;0.42;0.03;0.61
3310;Half-Life 2;XB;2005;Shooter;Electronic Arts;0.37;0.21;0;0.03;0.61
3311;Duke Nukem: Total Meltdown;PS;1997;Shooter;GT Interactive;0.34;0.23;0;0.04;0.61
3313;Jak and Daxter: The Lost Frontier;PSP;2009;Platform;Sony Computer Entertainment;0.18;0.27;0;0.15;0.61
